Name,Phone Number,date,genre
Lorine Hermosilla,07084749 53,30-6-1999,2
Nicky Develbiss,06743270-096,18-11-1973,2
Tyrone Syers,009753-93 06,11-2-1977,2
Neal Makey,0238-478-4 73,18-9-1982,2
Octavia Prowell,0246 20 10 84,10-4-1980,2
Derrick Edgett,08326-62 79,1-6-1979,3
Collin Quiros,0976138-0970,24-4-1984,2
Emilio Gabrielson,004-354 246,18-12-1998,1
Oma Seneca,07643934 27 95,29-10-2002,1
Anneliese Booker,017-802-62 56,14-1-2003,2
Malik Schrauder,0267046857-7,12-9-1996,2
Virgil Hinojos,0043294546,12-7-1979,2
Tempie Floto,042032-34-1,2-9-1972,1
Athena Flath,06293 6035191,11-4-1986,1
Liza Burkley,036528-683 59-43,27-12-1991,3
Lee Schalow,08659331-0,17-10-2001,3
Damaris Lobner,03506-826 5-3,27-6-1974,1
Irwin Shuttleworth,01608767-9380,23-4-1989,1
Rosario Valois,027139038-9,8-11-1978,1
Numbers Schlotzhauer,0492781-8 59,18-1-1971,2
Jennette Millage,09 095-92-54,19-4-1978,3
Jeni Minarik,06-746-64 80,5-9-1974,3
Ian Jungck,0254-92157,5-1-1999,3
Dahlia Lorensen,0326 92 3042,7-1-1981,1
Dick Santorella,026804387-78,30-3-2000,2
Ward Cwiek,056770-43 28,9-7-1978,3
Gerard Baquet,0094285686,25-2-1992,3
Alan Gerry,06354-53491-1,11-9-1977,2
Edda Embleton,06275 715 07 0,23-5-2001,2
Marybelle Clardy,00564-391-16 64,26-6-1978,1
Gemma Scovell,070235 469 754,10-7-1979,1
Mary Josephs,078162-79-1-19,17-6-1972,1
Odell Mapes,015 0236834,6-1-2000,3
Catherine Lowek,07829-042-1-80,16-1-2004,1
Kirby Cumins,007138954-97-94,1-6-1996,3
Elene Cantley,058270-73580-90,9-1-1994,2
Deedee Daniello,017352 82301-17,9-5-1974,1
Nancee Inoue,07861603 61-97,5-11-1984,2
Alana Wehmann,0847 74618 63,6-12-1996,1
Bari Norlander,029817 5092,9-9-1981,1
Lavada Pettaway,090581-23-79,8-2-1990,1
Clifton Hagele,0326924613 12,30-3-1975,3
Bo Strauf,090 567 4739,11-7-1978,3
Jalisa Smolensky,0396-856-65 65,27-3-1970,3
Marc Oglesbee,06982-918-0184,2-1-2001,1
Emogene Cleckler,03861 483 95 86,9-11-1990,1
Dudley Jagielski,0026-365 67-39,27-6-1973,2
Francina Bethell,004 5099-39,16-6-1995,1
Doug Wallick,025073-6943-4,1-2-1997,1
Mindy Wojtanowski,087-315-65-19,27-7-2000,3
Luella Mews,072943 82 8,23-12-1970,1
Jose Umfleet,0805845 64-3,25-11-1970,2
Laverna Camburn,006231-1631346,27-2-1991,3
Romeo Lutao,051-95 58 3,5-1-1973,2
Vincenzo Hink,00143 8507 1,16-7-1979,3
Cornelius Edgecomb,0759083-92 8,27-12-1995,2
Dusty Blattner,09728-584 65 02,25-9-1991,2
Kareen Gritman,027380-082 59-30,18-8-1972,1
Samatha Reneau,019539523-90,20-10-1998,1
Katrina Valin,05617-241-9729,24-4-1979,2
Jaime Cinadr,059-84-24 1,27-8-1983,1
Lance Kingsley,0138 23549 58,8-6-2001,1
Claretta Asuncion,070-597-7-64,4-1-1991,3
Mario Holstrom,0634147 98 35,21-12-1999,3
Voncile Wehrman,089-9091 24,23-6-2005,3
Herman Carrecter,03180926 54-43,5-5-1972,3
Magdalen Patillo,0935069312,21-8-2001,2
Clementine Dorado,07689 47-86 04,27-6-1995,1
Augustus Lavallie,09-715-93-76,29-1-1988,1
Eusebio Allender,038422927,11-8-1997,2
Jerry Sproule,07380 023193,12-6-1987,3
Adolph Dinwoodie,04519361 9359,8-12-1998,3
Vernice Cosgray,056043240,14-2-2005,1
Gemma Turli,084 571-9818,30-5-1996,3
Ellsworth Smolka,03458-735 27-03,12-9-2002,3
Edie Turchi,0432-37 20 10,31-4-1974,3
Jan Penninger,02-603-5268,2-1-1972,3
Nieves Tiboni,04018 10-98,31-2-1995,3
Lance Perigo,076-76-4790,1-12-1972,1
Vera Fontana,046032-512-52 25,11-8-1989,3
Dennis Danoff,037403-19 56,13-5-1977,3
Lyle Merlini,0419 792-0828,26-6-2001,2
Lezlie Steenken,095 851 5-52,1-4-1975,2
Kristofer Cadwell,026 439 25 29,20-6-1981,2
Diedra Roughton,089284-0764,31-2-1984,2
Victor Carte,07-0831-39,28-10-1991,1
Terence Guest,0751-70-7 19,5-11-1991,1
Diedra Lourens,0507 27548-82,20-8-1975,2
Yael Vanpoppelen,06348 708-96 59,26-12-1998,1
Alphonso Covey,07235422-1,18-2-1974,3
Santiago Rendleman,0032 128-62 86,26-12-2005,2
Garland Naud,05467-845-1562,6-12-1993,3
Lorita Roussell,009236 15603 98,10-7-1991,1
Grover Newbury,031951 951,25-1-2001,1
Elouise Szubinski,04793 82-18 4,3-12-1992,1
Lilia Carranzo,07108 795 87 23,18-6-1994,1
Geraldo Leishman,045978-41075 95,21-7-1974,1
Tiera Bagaoisan,030592-926-9-71,14-9-1971,1
Chere Rall,01473-2032 91,18-2-1992,2
Rod Fahrney,010-452 12 64,21-4-1989,2
Katia Akerman,053917470 78 78,29-11-2002,3
Celesta Mccoun,02635 46110 95,9-10-1985,3
Columbus Barela,05269406-0-84,18-6-2000,1
Edwardo Pittsley,00346183241,20-5-1970,1
Lonnie Creten,0317-573-2662,5-11-2001,2
Shad Brezinski,0728008081,29-10-1993,3
Latonya Brinsfield,04397 95140 2,7-2-1981,3
Audrie Yiu,03095-624829,1-6-2005,1
Chantell Ortuno,06923134-1-81,18-6-1970,1
Dagmar Schmeeckle,05214-721-2004,21-4-1970,3
Iva Feary,0986-2764590,28-6-1999,2
Rebeca Wandel,071652562 1-16,5-6-1985,2
Layla Rebello,035 814-74 06,2-11-1988,3
Jordan Chester,046694-1563,5-4-1974,1
Delbert Langholz,045218-97489-3,31-2-1996,2
Keneth Montoro,03250-6259608,5-6-1979,3
Kelly Suniga,0620 34 2037,14-7-2004,1
Jay Danehy,090 465 1623,2-8-1989,3
Raymond Nottingham,05710751721,15-1-2002,2
Camilla Benejan,032138 93 76,8-8-1986,1
Erlinda Trammel,049580-08 96,22-9-1993,3
Shawn Crookshanks,051745621-31,27-4-1978,3
Valencia Branz,08120 26-6,1-12-1994,1
Morris Kimberl,071 270 56-7,30-9-1998,3
Dorsey Ruch,0914-817-07 62,17-1-1975,2
Ji Salge,027264-612,10-8-1995,3
Augustine Fogelman,063-73970-62,31-6-1993,2
Leisha Blumhardt,0945 95 9607,2-7-1979,2
Barb Sieloff,0157 845-4020,17-3-1978,2
Wei Sane,09728 352-79 15,5-8-1976,2
Tonie Colapinto,098-067 18-50,26-9-1998,2
Holley Langmaid,0023-247-2026,20-2-1979,3
Jed Sasse,004 96 81-6,22-6-1992,1
Kenna Ermatinger,0568380 36-83,5-4-1994,1
Creola Rodrguez,074589 93-3,5-5-1982,2
Ling Getter,06428-490 1867,17-2-1996,1
Lonnie Rackley,02539-384-67 9,4-10-1994,1
Katelynn Dorchy,0079 376447,31-1-1999,3
Marquis Ludden,00927 37820 95,25-1-1981,3
Jerrell Legleiter,04009757-45,3-1-1989,1
Wesley Ollig,0013241 0 08,8-1-1979,1
Mi Gartland,09234-6098387,20-3-1983,2
Marita Jungbluth,0593-65 94-49,1-4-1970,2
Anneliese Blagman,0859-53 2-59,16-10-1986,3
Roni Saviano,07-09635-16,15-10-1971,2
Mack Ohland,080 34 623,6-5-1975,1
Jacquelin Klarr,0749 849 618,28-7-1988,1
Ward Winer,021 58-61-6,31-4-1981,1
Fredrick Sheeder,0831875036,2-10-1989,1
Daisy Voogd,040 93 80-19,8-2-1986,2
Kate Rayno,0670 74 1-81,7-4-2001,3
Percy Crick,0689-527-01-38,29-6-1984,2
Marlena Severo,05812-9042794,19-7-2002,3
Nancie Lafortune,0523178 09-29,28-11-1974,2
Dorethea Gradert,09743-1012,22-5-1992,1
Ernie Karins,04238 147-9091,14-9-1985,1
Joycelyn Sego,0047 403823,17-1-1993,3
Mia Willier,0621 07983-62,14-10-2005,1
Genevieve Alpern,0913607-52 4,11-1-1992,2
Kendrick Hilse,0817-549-943,12-9-1988,1
Herbert Albany,09862 39875-29,4-4-1982,3
Olen Elwick,025793535-82,17-6-1988,1
Clemmie Jarmon,05928-468 6427,23-1-1998,3
Gail Ehlers,040912 807-56-26,4-4-2000,2
Marlen Capouch,07352154035 37,2-3-1971,3
Dung Petrone,052-79-57-7,12-1-1989,1
Shawanna Havermale,035108-308-06 69,23-1-1994,1
Hung Lobato,04317240-5630,10-10-1977,2
Carrie Kamel,0850 782-32-94,28-8-1974,1
Burl Boike,03019-5480-96,31-6-1976,2
Cherrie Mendell,014986 402-0762,20-12-1986,3
Estell Compono,05291 410 52 85,27-8-1985,2
Ty Gonsales,0604 310-87 4,28-9-1979,1
Jeannine Khanna,06759 408-48-01,11-8-1978,1
Charlette Baley,03092-3520 17,8-2-1974,2
Jerlene Hyden,031765 738-71-56,22-1-1975,3
Anne Coad,01405 907-89-96,9-9-1996,2
Henry Colinger,02947 564109,17-9-2000,1
Jimmy Dinnocenzo,070332116 09,28-4-1991,3
Wallace Goede,014075-851-936,12-5-1984,2
Jessie Bozenski,02457-831-12-60,31-9-1975,3
Octavio Rosenstein,06-21-4-36,6-10-1993,2
Judy Ardinger,029830-38468 92,6-2-1970,1
Brandon Avallone,06095721 74,20-2-2004,2
Song Burk,074 836 3440,27-2-1995,3
Alina Higgin,03-685 76-1,28-7-2004,1
Edmundo Fall,0725-041564,23-2-1984,1
Charley Bolen,06824932-75 40,14-6-1981,1
Lashay Gilpatric,051637 40696-64,16-3-1997,2
Alva Reigner,021-245 052,28-7-1971,1
Kurt Tricarico,0851593-5-70,8-7-1998,3
Francoise Wengreen,018630-1630-4,11-2-1992,3
Josh Redder,0235 614638,15-10-1970,1
Courtney Tousant,0034760409 05,7-4-1981,2
Harold Kaing,056046 63-02,13-7-1978,3
Clotilde Arcano,0243-20-31-8,30-2-1997,2
Elvis Cowdrey,051230-80 39,20-7-2001,2
Ward Rydell,03274 29 74 3,20-11-1991,1
Antonio Acothley,036 359 73-49,9-2-1976,1
Loralee Wears,0650-948-9-05,28-10-1977,1
Lamont Hepa,0041 6029-98,26-9-1986,3
Warner Bethard,0531026 92,8-11-1994,3
Zenobia Caamano,041612 7-3,24-4-1987,2
Truman Dexter,00264046 6301,17-12-1991,1
Erin Andersson,06539 3274-96,17-6-2003,2
Velma Holford,00927-39137 76,14-1-1984,2
Rayford Sesma,0041669-38 20,19-1-1976,3
Rolando Sivley,08053753 20-7,28-9-1996,1
Palmer Wetherby,047 6899638,17-7-1985,1
Gregg Kuakini,02745 789029,27-8-1989,2
Rosalind Mundt,01640 281-4 26,19-6-1999,3
Allan Lima,0132-086-1-62,23-3-1982,3
Fran Mckim,038459-704-43-46,12-1-1989,1
Christopher Gudino,067-372 3987,29-10-1990,1
Homer Mckenize,0069 140 17 1,6-7-1976,2
Elton Saul,00483-19034 2,25-9-1989,3
Cedrick Trapani,013-1074 27,15-2-1992,1
Ignacio Donoghue,0347-143 13 70,22-10-1985,3
Debora Roelfs,001237 702-7 62,4-8-2001,1
Shalon Shields,053487 314-0501,27-8-1976,2
Buford Kilgore,08972491-1-03,11-12-1990,1
Meridith Stuckett,048015 07121-30,23-4-1992,2
Aurore Floris,014 985428,28-7-1973,1
Jettie Martinis,036849-7549705,17-7-1989,2
Lashell Tressler,0962-710-2423,2-9-2004,1
Whitney Gonzelez,036-931-8521,10-4-2003,3
Dot Ebadi,0972502206,25-12-2000,2
Casey Cabble,004617-231 26-31,23-8-1994,3
Cordell Davino,0489 4902 28,22-4-1987,1
Carrol Hartig,0274-64-369,24-1-1977,3
Russel Lambdin,0213-578457,17-12-1978,3
Kirby Dhillon,089 52 15 3,9-1-1995,3
Stacey Toupin,083452-73 5 5,7-4-1996,2
Chana Walden,0745-43263 25,8-2-1983,2
Sharmaine Paredes,04091 213-59 3,31-5-1984,1
Antione Lastiri,0037 9804 96,1-3-1995,2
Cassondra Cabrara,01530071383,18-10-1986,3
Donya Searing,07635 32 20,20-2-1984,2
Ria Lazor,0547 134-7318,19-4-1982,3
Domingo Roehm,02406-379 5038,28-1-1988,1
Oneida Emerich,0638-5408506,22-2-1997,2
Will Gompert,00785-081 8502,4-7-1974,3
Micah Lavender,0186 168 2 94,13-4-1996,2
Rosaura Mckernan,087756-86-41,11-4-1987,2
Christia Rolle,043671 1469,30-4-2003,2
Kenyetta Ransom,01673-1359 93,23-2-2000,3
Maricruz Rola,065-98787 74,21-5-1994,3
Dewayne Headings,06239261308,14-5-2004,3
Shannon Roten,005753-12 1,9-8-1979,1
Verna Brendal,005728 30-91,2-1-1971,3
Mac Bleier,090869 95 19,8-7-1983,2
Joette Saathoff,0636281,13-2-1988,2
Antone Yeldell,09684735-35-65,21-9-1970,2
Cherry Alvernaz,04953615 57-59,10-1-1991,3
Mindy Cheater,028 613047,28-4-1988,1
Johanne Orme,070698287-3-34,10-10-1986,3
Harriet Stolarik,07489 729-040,5-6-1990,1
Terence Mohler,04518 735 25-2,5-9-1998,1
Edwina Kubas,09657 251-563,18-6-1996,1
Reid Nooney,0361-285-43-4,18-1-1992,3
Sunshine Kostohryz,08120392174 60,2-10-1986,3
Sharlene Haddock,0953 4816-86,30-10-1971,3
Deon Mangicavallo,036824023 01,1-6-1988,3
Manual Lones,038721-34-242,28-1-1983,1
Lloyd Mayse,08294329562 82,2-9-2003,2
Charlott Verducci,0259 460 36-41,2-8-1977,1
Sherry Mancell,062175-94631-03,24-4-1997,2
Roberta Probert,07413846 81-45,7-3-2003,1
Evan Holberg,006 40119-82,21-9-1971,1
Britt Conery,0273-5203 98,22-9-1985,2
Ignacio Sangalli,07650-3101652,28-4-1980,1
Sheryll Milot,00-569 0 5,3-2-1970,1
Andy Seawell,048226859 04,18-5-1990,2
Sadie Staudinger,07806-056 62-85,20-6-1970,2
Jesus Staff,0728931-5365,15-12-1976,3
Janice Logalbo,082437226-41,31-7-1987,1
Debi Wilmer,0241-312 194,5-8-2002,3
Hilton Stahoski,049 826 57,28-7-1990,3
Colin Hoguet,0913-65398 73,29-10-1978,1
Toni Batten,0863-215-2368,6-2-1993,1
America Mielsch,01545733898,31-4-1994,2
Coleman Scarola,08651-980 36-12,21-5-1980,3
Roland Kohr,0527-294-4371,15-3-1984,2
Kaylee Nagorski,0519-7207-65,25-3-1972,2
Melania Pawelek,0154 573-818,14-5-1981,3
Bennett Gerula,0421421291,10-6-2005,2
Allen Bobseine,0923714-08-01,9-11-1977,1
Bill Ables,036-56398-8,1-1-2000,2
Alberto Kolek,04368248 18,9-7-1974,3
Wilbur Eisenstadt,0931-13-1-94,22-11-1975,3
Burma Stiltner,045270031 4053,11-3-1989,1
Miss Letterman,071 27542 04,5-6-1970,1
Heidy Hamzik,086502 39-53,27-6-1974,1
John Luxmore,0973-340-7648,25-1-2001,3
Keith Breedon,08210-214 20 64,1-10-1976,1
Jc Cord,00712-74558 6,19-4-1977,3
Dominique Syndergaard,03756 960-46-01,22-2-1998,2
Judson Crise,026 084 142,22-10-2002,1
Nick Abee,086703560-89,30-2-1978,1
Wilfredo Doonan,01051-18-58,26-2-1977,3
Johnetta Tomasulo,034 176-3858,25-1-1983,1
Marleen Draeger,085-245-9893,24-5-1997,1
Willie Beals,073-143 78 34,10-10-1998,3
Walton Helper,029108-826 817,21-9-1991,2
Iola Flory,02673 57-87,6-6-1994,2
Garland Jochum,096275-195-3220,9-9-1971,3
Isaac Larue,0867510617182,7-11-1998,3
Joel Hahs,063-2633569,28-6-1976,3
Carmelia Longstaff,01480274-8684,9-8-1987,1
King Blacklock,045712-14-56,10-4-1997,3
Genny Rathgeb,03980515-6569,20-8-1974,2
Isaiah Porteous,021784 49 1756,2-11-1982,2
Vince Guinane,0873 1848 2,12-12-1996,3
Jacquline Mclane,00285-862-54-16,3-5-2000,2
Ashanti Hochman,06139 16 663,10-5-1975,3
Nolan Stjulian,0032516-7-92,22-10-1985,2
Neville Connally,01386874-6,16-2-2004,3
Rosann Baucom,07-19 94-05,11-2-1976,2
Donita Poulton,0541567050,23-2-1972,1
Jaime Genett,049-456 8378,27-3-1992,1
Trenton Mccravy,03109 35995-94,30-4-1970,1
Leandra Mcquillan,014057826 52 96,27-1-1985,3
Dayle Nohel,083-784302,31-10-1998,3
Albertina Vernola,075-3962-1,17-4-1991,2
Mui Yagues,075 2739 27,8-12-1987,1
Ted Hanserd,05412-605-979,9-6-1973,3
Latoyia Marzinske,0021 2591291,11-1-1971,1
Jade Kosanke,0905927-4157,11-9-1996,1
Terrence Snoddy,050737457 03,3-5-1982,1
Alanna Nowicki,041-4122-48,14-6-2003,3
Micaela Ciccarello,0275508-75 2,31-11-1972,1
Florentino Eisinger,089526478619,30-3-1994,1
Lyle Mitchener,0579-489-986,6-5-1984,3
Ocie Capella,056 9275 60,28-12-2000,2
Latanya Boudrie,024485 9 36,9-12-2001,2
Rachal Diprima,0801326-0567,24-6-1970,1
Jonathon Schorr,010246-0119,23-11-1993,3
Onita Penkins,08940 35-583,8-10-1976,3
Carmelina Seegars,080-19063 64,2-6-1981,3
Susannah Bramlet,014-513 91-53,29-4-1974,3
Richie Josey,014-351 6-28,8-11-1999,1
Christoper Eidem,067342 31646-05,19-4-1971,2
Lyman Jeske,04046386-93,12-8-1997,1
Ahmad Pioli,08401436-1,16-2-1983,1
Krysten Hoyer,0681206206-5,19-2-1972,2
Vince Antoine,0527-097-6265,29-9-1976,2
Nelson Whitlingum,0850 38 71 94,7-12-1981,1
Jarvis Tessier,023 526 4868,25-2-1995,1
Lacy Vosmus,020-834 92,25-9-1979,1
Hubert Holladay,0408-703-23 42,13-6-1975,1
Vernia Luby,01936949-13,5-9-1979,1
Tu Schertz,046950640 35 35,4-4-1996,3
Jeffrey Distler,09310263-34,31-5-1979,1
Nelda Eytchison,0170 1414-62,3-6-2005,1
Gonzalo Apicella,01684-391-477,9-4-1987,1
Emeline Wraight,021 932-14 30,23-11-1996,3
Ivey Bierbower,075951 1315,29-8-2004,3
Jenna Hoit,058-3681 40,22-6-1988,2
Estella Elrod,02780-061-94-43,28-11-1985,3
Shaneka Judon,0602638 65,27-2-1995,1
Shoshana Fricke,01690260-90-63,20-8-1975,3
Rod Dishner,0170-51090,15-8-1989,2
Kari Mcwherter,038160-975-2682,7-4-2005,3
Dion Roso,0183 589612,11-12-1991,2
Jeremy Camilleri,0648-3923239,28-9-1980,2
Deetta Evilsizer,08932421-54-5,23-2-1982,3
Neville Kall,08014-38480-80,30-2-1975,1
Sasha Biermann,0059 96-43-27,6-2-2004,1
Long Keniston,0426-496-54 02,24-2-1986,3
Darron Heckert,04761-909025,27-7-1996,3
Odilia Socha,0120451 32 4,7-5-1984,1
Desmond Keene,018-70 158,18-3-1973,2
Oda Campillo,05 02 8-89,13-1-1977,3
Desirae Bramsen,0781629270893,26-12-1989,3
Marylynn Sanon,056474641,23-5-1995,1
Ty Urby,03 573567,18-7-1984,2
Refugio Cercy,002 607-646,3-11-1998,1
Joelle Niemi,09-759-98 63,21-11-1982,3
Bill Jankoski,0310 569 9558,31-10-2002,3
Leeanne Higgin,025541 06-6,25-1-1978,3
Veronika Croasmun,06479-814 4908,15-5-2000,1
Gay Brakhage,04391 1883 65,7-11-1991,1
Renate Kilmon,049 703-626,27-5-1980,1
Joanna Dess,07935 761-5632,19-2-1981,3
Jarrod Falwell,0392542-18-79,17-7-1970,3
Catalina Kann,090-687 86 05,9-10-1997,3
Quiana Swearengen,00516-342 18 86,17-4-1989,3
Soraya Fetters,017 8463257,24-6-1999,3
Danilo Mainard,085 135-6702,15-7-1982,3
Frankie Halbrook,04621 097-24-19,31-6-1999,2
Elias Jorden,07258 0747 3,18-1-1977,3
Jewell Radde,080-435-64-96,1-4-1992,3
Nathaniel Mellett,09231-568-9192,15-2-1994,3
Russ Como,01372 712-27 10,11-7-1998,2
Luana Dealba,02765-364 524,5-10-1995,1
Lincoln Macko,0925-07 35 37,7-1-1984,3
Mai Heinemeyer,091 840 84,8-12-2003,3
Jarrod Meiners,06938-269181,26-6-2001,2
Ben Smyth,0894 38213 4,2-8-1988,3
Candida Gironda,0382-82631 2,30-9-1973,2
Donnie Leverson,096 179 34-10,29-1-1999,3
Ulrike Bing,06082-4252690,27-3-1997,1
Akiko Iliff,09284-178 79-72,18-5-1985,1
Kip Schuch,04 672142,3-11-1988,2
Sue Suthoff,00 618-0412,27-4-1973,3
Marcell Burandt,0435-012 25-90,7-11-1989,2
Kam Lingg,034908 087 27-18,20-4-1998,2
Vinita Taliman,075364678 81,26-5-2005,1
Fumiko Spafford,08-04329-48,1-7-1976,2
Lorriane Deatley,027-9436-92,31-8-1982,2
Milan Tafel,075024 368 75-8,15-1-1977,1
Ellan Cogdell,0347072-945,20-9-1972,3
Mariano Englade,031896028 07 9,23-4-1986,3
Denis Armintrout,080769-429-19-16,8-4-1974,1
Valentin Coty,02784-28 143,12-2-1980,1
Marilu Brummel,07-74 90 29,13-8-2002,3
Dottie Brotherson,00642712-02,30-5-1997,1
Jan Reveal,073845 7 61,2-9-1983,3
Rachal Pineau,0127206-24-59,9-1-1989,1
Celeste Killette,02413-724 32 83,26-6-1970,2
Hoyt Strupp,028295 09 28,2-1-1991,1
Cris Cihon,051859614,31-12-2000,2
Selina Dayley,0368-214 8796,20-2-1994,3
Hannelore Parrow,0026890-78,4-3-1971,3
Easter Maloy,028 815 94 13,13-1-1982,2
Jaquelyn Zaborski,001582-0361,1-8-1985,3
Andy Mocco,0890727821457,28-6-1974,1
Columbus Seaholm,0794254 16 2,16-4-1994,1
Clarisa Kahahane,021047-32189-98,3-5-1995,1
Madalene Glosser,05820-709 4367,26-5-1998,3
Verna Cozby,0271-815-4719,15-6-1998,2
Jarvis Hackbarth,047592-209-08 91,31-11-1980,3
Clinton Redrick,005-867-73-85,20-9-1975,1
Simon Romaniello,0716 63-25-02,10-1-1996,2
Minh Glisan,042-39246 3,12-9-1979,3
Carl Vardaro,091042-58-48,10-2-1990,2
Karl Benusa,05492-80 16-05,14-4-2000,3
Silas Otterbein,0691392674,1-1-1979,1
Anjanette Ehmann,07623 37-5 6,5-6-1989,2
Johnson Dowlen,04860-9680,28-7-1979,1
Jen Behan,08279306 87-7,27-12-1995,2
Casie Mcgurl,06548 32102-19,2-7-1990,3
Irena Sharf,049062 37461-78,27-1-1991,3
Elidia Bohn,0514-425 20-87,30-12-1993,2
Vena Lenig,0394 453 71 85,7-11-1970,2
Daniell Newland,0048-318 7847,31-2-1981,1
Natalie Laframboise,072134 71089-12,25-2-1970,3
Alan Lotta,034129552 56,12-11-1976,3
Ricky Engelhaupt,027-793672,9-5-1971,3
Del Vela,05398 453 5-86,10-5-1978,3
Rene Rubner,006-42958-57,16-9-1973,1
Robin Repke,0704708286,6-4-1987,2
Nilda Mees,019 4826 02,26-8-1981,1
Shasta Bou,06701-087 2 28,5-5-1980,2
Kasey Pocock,0926-37674 0,28-5-2002,1
